Participants No.,Task,Distance,Score,Trial,No.,Task,Score,Trial
1,A,9.15,0,1,1,B,40,1
1,A,7.544,0,2,1,B,40,2
1,A,7.15,0,3,1,B,39,3
1,A,6.624,0,4,1,B,40,4
1,A,6.2125,0,5,1,B,39,5
1,C,7.2,22,1,,,,
1,C,7.888,20,2,,,,
1,C,7.332,18,3,,,,
1,C,6.320833,16,4,,,,
1,C,7.856,24,5,,,,
2,A,17.55,0,1,2,B,39,1
2,A,4.25,0,2,2,B,40,2
2,A,7.883333,0,3,2,B,39,3
2,A,9.229167,0,4,2,B,40,4
2,C,7.666667,26,1,2,B,40,5
2,C,6.654167,30,2,,,,
2,C,7.366667,32,3,,,,
2,C,4.229167,34,4,,,,
2,C,5.704167,34,5,,,,
3,A,5.916,0,1,3,B,39,1
3,A,10.1,0,2,3,B,40,2
3,A,7.354167,0,3,3,B,38,3
3,A,6.865217,0,4,3,B,39,4
3,C,5.945833,21,1,3,B,40,5
3,C,9.436,21,2,,,,
3,C,5.65,28,3,,,,
3,C,9.324,22,4,,,,
3,C,6.366667,23,5,,,,
5,A,10.04167,0,1,5,B,40,1
5,A,4.78,0,2,5,B,40,2
5,A,8.416,0,3,5,B,38,3
5,A,7.079167,0,4,5,B,40,4
5,A,5.569565,0,5,5,B,39,5
5,C,8.283333,18,1,,,,
5,C,9.775,15,2,,,,
5,C,7.916667,15,3,,,,
7,A,12.64583,0,1,7,B,40,1
7,A,7.93913,0,2,7,B,40,2
7,A,5.143478,0,3,7,B,39,3
7,A,4.8625,0,4,7,B,40,4
7,A,4.312,0,5,7,B,40,5
7,C,9.008333,15,1,,,,
7,C,6.876,29,2,,,,
7,C,6.196,18,3,,,,
7,C,6.692,18,4,,,,
7,C,6.756,21,5,,,,
8,A,7.816,0,1,8,B,39,1
8,A,6.145833,0,2,8,B,39,2
8,A,9.116,0,3,8,B,40,3
8,A,5.333333,0,4,8,B,40,4
8,A,3.304167,0,5,8,B,37,5
8,C,6.56,22,1,,,,
8,C,5.984,25,2,,,,
8,C,8.756,18,3,,,,
8,C,7.85,22,4,,,,
8,C,5.345833,22,5,,,,
