"1.403129,15.77228,-76.35667","2.577412,16.38641,-43.73663","-1.226632,13.7107,-48.16956","1.077909,15.4827,-52.64608","-0.1416535,14.67654,-68.08559"
"-6.744199,25.06671,-62.1053","-1.796224,31.6797,-25.60723","-8.678395,22.37843,-30.47683","-7.640682,20.01163,-32.51446","-4.953121,21.99634,-53.39984"
"-0.2283759,19.30892,-33.71655","0.9299943,24.91133,2.076763","-3.84855,24.8615,-0.3515816","-0.612331,17.97478,-3.939426","-2.228292,18.66683,-23.88781"
"7.337993,23.31899,-6.499237","-0.2780592,19.78565,29.73713","-3.645401,22.51827,29.3037","-0.3357629,26.36851,23.13781","1.804517,19.91688,5.696648"
"1.077118,29.93837,20.28101","0.5989833,27.40924,58.25837","2.308445,21.96321,57.65083","-5.756567,31.56781,51.32514","8.988163,20.60102,35.27132"
"-8.933282,17.31274,45.07358","4.853162,28.08397,85.85381","6.995869,21.13306,86.35387","-0.6079881,23.59198,79.39438","3.278846,24.71291,64.31439"
"-2.503908,32.30906,71.42879","-0.3561946,18.70981,113.5771","-1.182732,19.21202,115.506","4.112994,17.77875,105.1513","-6.954991,26.50017,92.33386"
"4.209036,32.38776,101.0773","2.142702,22.07694,143.7887","-6.576851,25.44158,143.9338","-6.414461,24.14772,131.2128","-4.026286,24.23309,121.2056"
"-1.169865,20.31773,128.4961","-0.4665024,30.74652,173.1308","-5.977579,32.87913,173.3959","8.926096,29.76075,157.5146","6.486954,29.04723,149.0145"
"5.893079,21.72965,157.0845","-7.135607,32.58761,203.1068","-7.662169,28.11644,202.5926","7.558544,22.72338,187.4957","2.069055,29.17595,178.7619"
"-2.923928,20.00204,184.5849","-6.895404,29.28543,233.2323","-2.113503,20.72409,229.2233","-5.269208,31.75161,214.2117","-7.12025,19.30893,206.0161"
"0.03403418,23.59526,212.0337","-0.1152045,23.8338,262.0959","7.246012,30.07026,255.3909","-2.915039,20.2103,240.9294","-5.675312,17.85702,236.3671"
"-1.029972,29.90836,240.3126","-4.405175,20.34008,290.4303","-8.764099,34.77669,281.5086","-4.827724,26.20036,269.0902","4.277279,22.21537,265.0514"
"-5.91219,27.00027,269.1185","6.084327,34.16774,316.1138","1.629621,29.6273,309.8544","-0.8343655,22.49329,297.1972","3.303086,29.66895,294.8164"
"-0.215611,22.72156,297.9366","0.6753616,29.29289,346.11","7.582025,19.96639,338.5129","5.626014,18.82547,326.8285","-4.709175,27.00986,323.8566"
"1.089051,22.89421,326.7155","5.979208,32.55808,376.344","-5.704048,22.71663,365.2798","1.277109,26.0601,355.1933","4.392877,34.67465,352.415"
"-5.979287,26.95875,355.261","-1.931524,21.17029,404.0677","-1.06578,25.05377,393.2741","-2.11527,24.81121,383.21","3.019994,33.59102,383.2058"
"-5.961556,29.96189,383.4167","-7.015367,30.21854,432.797","-5.43263,18.96334,421.0161","-2.230023,18.70113,413.0493","4.826926,19.32454,410.6641"
"-1.443525,22.35612,410.7979","1.304443,33.8964,461.6965","-3.576434,18.8028,449.0893","3.45597,19.439,442.4479","-7.83051,15.86326,438.5122"
"6.936043,29.57575,439.0574","5.423991,21.90901,488.9049","-4.260791,27.63609,477.0096","3.572399,25.56102,469.7918","-6.038541,23.9752,467.5199"
"4.643507,28.25821,469.5089","4.13646,19.34696,518.7415","-5.355693,28.88796,504.4464","-1.961447,31.85029,496.944","-3.839874,30.97814,497.4963"
"-0.6907694,32.99831,499.2681","2.779074,26.15281,548.7626","1.774023,26.69268,532.3517","4.046275,28.89226,526.4539","5.462312,32.35281,526.606"
"-0.09654407,32.5094,529.4782","-0.04335339,24.95056,578.9058","2.687277,29.60243,560.1574","3.665807,24.76317,556.3519","-3.41741,34.04058,554.7841"
"-6.543324,23.35515,557.1818","-1.734689,28.44839,609.297","-2.365655,17.29264,586.8229","8.047823,23.87038,586.3796","-4.411705,26.03936,583.0013"
"5.319754,19.17508,584.9834","3.647682,22.62714,638.0994","0.5134312,19.89801,617.3204","6.742045,20.41068,614.8787","2.391734,19.77902,612.1971"
"6.881166,30.79747,613.6619","-2.059847,23.66351,666.7474","-0.6403363,27.39569,647.0507","-2.089303,30.72504,642.3871","1.215535,25.25952,641.2432"
"-6.50067,31.19165,641.5662","-7.32423,30.63031,696.0883","-9.101304,31.6967,675.9458","-4.606868,29.80353,672.0416","1.759078,23.8215,670.3205"
"4.272096,20.72739,667.252","-0.6686302,27.21378,724.0408","-8.674537,24.07369,705.6826","5.800385,18.01383,698.0446","-3.439733,21.84183,699.3932"
"5.626189,24.72328,696.0155","6.613422,21.86089,753.1273","-3.429473,21.41352,735.6238","6.571409,31.49697,725.9409","-6.20522,21.63665,729.0899"
"-0.5301684,26.03581,725.7991","7.185219,24.89924,783.4391","-5.069682,24.98083,765.7308","-5.241591,29.87887,754.0121","-5.32428,23.96971,759.6133"
"-3.302347,31.35649,755.7756","-1.694916,24.34962,811.6688","1.81616,17.10769,794.5229","0.9146069,23.2633,782.6023","-1.362772,27.83273,789.646"
"4.018173,28.74334,784.4742","-3.682465,20.28558,839.0662","-1.17522,16.37081,824.9766","1.197101,21.17221,813.196","-3.552025,23.81077,818.5587"
"8.906649,24.32386,814.4145","4.652823,18.29166,868.3262","-1.954295,23.49763,854.8205","7.272808,30.04875,841.8456","-4.03334,17.22262,847.515"
"7.983214,23.85576,845.1927","3.844743,23.2496,897.2988","-8.342926,19.68567,884.2658","3.296616,33.80734,871.5668","1.599066,21.45487,876.3555"
"3.09367,28.03598,875.3497","-0.3272248,31.64023,924.8903","-4.333968,25.93026,914.0231","-0.8387613,32.36228,902.0248","0.07428209,25.10584,904.7779"
"5.093229,28.02281,905.5217","-0.8110781,24.71152,954.6919","-7.17731,17.37096,943.1128","-0.7434824,27.03807,932.3301","-1.240098,24.27215,933.217"
"5.420254,23.00989,935.8109","1.362252,20.1579,984.8741","1.067294,23.4702,972.2561","3.963548,30.28066,962.4644","2.155774,31.48539,961.8273"
"-2.62652,22.06983,965.2855","-0.2400548,17.91807,1014.74","-0.4837777,34.1021,1001.322","3.077321,29.86378,993.0993","-2.610002,31.17707,990.8098"
"-3.325561,20.48268,995.4014","4.690698,24.28049,1044.419","6.958837,26.97743,1030.23","-2.152913,20.89343,1021.94","-1.976058,22.75743,1019.372"
