"4.471902,17.21368,-56.52004","9.58365,18.20748,-42.92702","7.568755,18.02389,-48.55852","0.3800755,15.04916,-57.63612","-2.898461,11.75789,-40.8455"
"2.108255,30.92312,-38.4285","6.279743,29.02,-28.4903","2.285417,27.221,-33.83179","1.323275,22.56851,-42.50463","1.091456,18.16143,-20.05766"
"-0.2206401,27.7235,-8.48494","3.661314,25.6871,1.141079","-4.937295,19.48067,-4.995125","7.812253,25.00203,-15.22048","7.467011,26.36389,8.473362"
"-4.762729,25.32027,21.72245","1.371376,24.84976,31.37441","-7.856239,23.28165,23.3483","3.177327,28.84975,13.01438","0.9210277,22.50911,35.10104"
"2.530889,21.89656,49.8681","1.911976,26.74218,60.19373","-0.9197811,28.69053,50.0269","-3.752249,20.25536,41.67499","-2.306291,20.88162,61.46001"
"7.469116,19.11478,78.52747","1.334768,32.11581,88.02038","7.89849,19.99885,75.71405","-8.43643,21.34046,70.27745","0.8963582,26.09466,90.08948"
"-0.9370757,23.32489,107.5199","-7.996063,28.26981,116.0977","-2.898113,27.66853,103.0747","-2.717364,30.48834,97.2679","1.702549,26.43156,119.0102"
"-5.875951,28.15473,136.2213","-5.780041,25.00534,145.7808","4.530218,19.60763,131.8327","9.571742,18.65481,122.7159","7.652612,31.32963,146.8895"
"-1.60518,26.15896,166.5902","-3.112033,29.8542,175.8715","-7.121253,25.04785,160.0254","-2.347456,26.92207,150.099","3.331315,25.06359,176.0259"
"-2.009497,24.96397,196.7183","-1.440784,27.77556,206.6184","5.184322,19.31359,186.8819","3.66824,20.11301,178.5539","2.81382,26.3333,206.5333"
"1.071771,26.98184,225.6325","-1.551093,28.26912,237.4356","1.28476,27.53905,214.8385","-5.462484,24.1954,206.8748","-0.01340222,24.57107,235.6666"
"8.763247,23.42593,253.9974","-4.608095,27.08714,267.6149","-0.9429573,30.27167,244.9185","3.231835,20.29036,233.8963","4.575629,32.74866,263.6884"
"7.358347,21.27989,283.3896","-7.02989,20.95916,296.986","1.250555,28.88209,275.6293","2.356939,26.05833,261.6712","-8.443936,30.17426,291.2225"
