"(2.6, 16.4, -50.3)","(1.8, 16.0, -170.7)","(0.4, 15.0, -149.2)","(-3.2, 11.3, -103.5)"
"(-1.8, 31.7, -32.2)","(-8.0, 27.3, -159.5)","(1.3, 22.6, -134.0)","(0.6, 25.4, -82.5)"
"(0.9, 24.9, -4.5)","(-8.6, 18.7, -130.8)","(7.8, 25.0, -106.8)","(1.2, 26.8, -53.7)"
"(-0.3, 19.8, 23.2)","(-5.4, 21.2, -100.3)","(3.2, 28.8, -78.5)","(2.7, 27.0, -23.4)"
"(0.6, 27.4, 51.7)","(-3.5, 27.3, -70.1)","(-3.8, 20.3, -49.9)","(6.4, 24.0, 6.9)"
"(4.9, 28.1, 79.3)","(-4.5, 26.6, -40.3)","(-8.4, 21.3, -21.3)","(2.4, 19.7, 36.8)"
"(-0.4, 18.7, 107.0)","(-6.4, 19.6, -11.4)","(-2.7, 30.5, 5.7)","(0.5, 28.5, 65.0)"
"(2.1, 22.1, 137.2)","(-3.9, 26.1, 18.1)","(9.6, 18.7, 31.2)","(-3.1, 31.9, 93.6)"
"(-0.5, 30.7, 166.6)","(3.0, 31.2, 45.2)","(-2.3, 26.9, 58.6)","(-5.8, 23.0, 122.6)"
"(-7.1, 32.6, 196.5)","(0.9, 16.3, 71.0)","(3.7, 20.1, 87.0)","(-1.3, 19.4, 151.5)"
"(-6.9, 29.3, 226.7)","(7.7, 25.1, 99.9)","(-5.5, 24.2, 115.3)","(3.3, 23.5, 181.5)"
"(-0.1, 23.8, 255.5)","(-1.9, 19.9, 128.9)","(3.2, 20.3, 142.4)","(0.8, 22.5, 211.8)"
"(-4.4, 20.3, 283.9)","(-7.3, 26.3, 158.6)","(2.4, 26.1, 170.1)","(0.1, 26.9, 240.4)"
"(6.1, 34.2, 309.5)","(-6.8, 23.3, 189.2)","(-0.9, 30.4, 199.8)","(2.0, 33.5, 269.1)"
"(0.7, 29.3, 339.5)","(7.3, 31.2, 215.5)","(0.8, 29.2, 230.6)","(-2.2, 32.6, 299.3)"
"(6.0, 32.6, 369.8)","(7.4, 30.0, 245.5)","(-0.9, 21.4, 259.9)","(-3.0, 33.0, 328.8)"
"(-1.9, 21.2, 397.5)","(1.5, 18.1, 273.0)","(4.9, 17.1, 288.5)","(2.5, 29.1, 358.6)"
"(-7.0, 30.2, 426.2)","(3.4, 24.5, 300.9)","(2.8, 20.1, 316.6)","(3.2, 28.5, 389.0)"
"(1.3, 33.9, 455.1)","(-3.7, 31.0, 329.0)","(-6.2, 25.8, 345.3)","(6.0, 32.1, 419.5)"
"(5.4, 21.9, 482.3)","(-1.0, 32.9, 357.3)","(-1.1, 30.3, 373.4)","(6.8, 27.2, 448.9)"
"(4.1, 19.3, 512.2)","(4.5, 27.4, 386.3)","(7.9, 30.6, 401.1)","(5.1, 21.2, 477.8)"
"(2.8, 26.2, 542.2)","(2.2, 24.0, 416.2)","(6.4, 23.6, 430.8)","(5.2, 27.4, 508.0)"
"(0.0, 25.0, 572.3)","(1.4, 29.2, 446.3)","(7.7, 20.2, 459.8)","(0.9, 27.7, 536.7)"
"(-1.7, 28.4, 602.7)","(0.6, 33.7, 476.6)","(1.5, 29.3, 488.6)","(-3.9, 19.7, 564.2)"
"(3.6, 22.6, 631.5)","(-2.6, 24.9, 504.4)","(-4.9, 33.4, 516.7)","(0.9, 24.5, 594.1)"
"(-2.1, 23.7, 660.2)","(-0.1, 18.7, 531.2)","(3.5, 28.1, 545.0)","(0.6, 26.7, 624.4)"
"(-7.3, 30.6, 689.5)","(4.8, 27.6, 559.6)","(-4.6, 25.6, 574.4)","(3.0, 23.2, 654.2)"
"(-0.7, 27.2, 717.5)","(3.7, 33.5, 588.8)","(-2.9, 17.7, 603.2)","(6.5, 29.1, 684.3)"
"(6.6, 21.9, 746.5)","(3.5, 27.2, 617.3)","(-8.0, 30.4, 631.0)","(3.2, 31.7, 714.2)"
"(7.2, 24.9, 776.9)","(-9.0, 17.0, 642.6)","(-5.6, 33.4, 661.5)","(-5.8, 30.0, 741.5)"
"(-1.7, 24.3, 805.1)","(-7.9, 20.0, 673.2)","(4.5, 20.2, 687.7)","(4.7, 18.0, 767.3)"
"(-3.7, 20.3, 832.5)","(-2.7, 27.6, 702.4)","(-6.3, 25.6, 714.8)","(-1.3, 28.7, 795.8)"
"(4.7, 18.3, 861.7)","(-8.7, 33.6, 731.5)","(-0.3, 23.9, 742.5)","(-0.3, 19.8, 825.1)"
"(3.8, 23.2, 890.7)","(2.7, 25.8, 759.2)","(-0.6, 30.4, 771.1)","(7.8, 23.7, 854.6)"
"(-0.3, 31.6, 918.3)","(6.6, 17.8, 788.9)","(4.6, 30.1, 799.4)","(-1.5, 26.2, 883.6)"
"(-0.8, 24.7, 948.1)","(-5.7, 23.3, 816.7)","(3.0, 28.6, 828.5)","(3.1, 23.3, 913.5)"
"(1.4, 20.2, 978.3)","(-4.7, 30.9, 846.3)","(1.1, 25.5, 858.2)","(3.5, 30.9, 943.3)"
"(-0.2, 17.9, 1008.2)","(1.9, 20.1, 873.5)","(-0.6, 27.9, 887.8)","(3.7, 20.6, 971.5)"
"(4.7, 24.3, 1037.8)","(0.6, 20.6, 903.4)","(2.2, 24.4, 915.2)","(1.3, 30.2, 999.2)"
"(2.5, 30.3, 1067.2)","(4.3, 28.4, 932.9)","(7.0, 17.2, 943.2)","(0.9, 23.2, 1026.3)"
"(-5.8, 27.4, 1096.2)","(1.3, 21.6, 961.2)","(2.2, 19.6, 973.5)","(4.5, 24.6, 1054.4)"
"(-3.4, 24.1, 1126.8)","(-5.6, 21.2, 990.6)","(0.9, 22.1, 1003.2)","(0.0, 22.8, 1081.7)"
"(-1.7, 22.3, 1156.2)","(-5.5, 19.3, 1020.7)","(4.4, 23.6, 1033.5)","(-7.4, 21.6, 1109.1)"
"(-0.2, 31.7, 1184.1)","(3.9, 25.9, 1048.3)","(2.6, 23.3, 1064.3)","(-8.6, 27.4, 1138.8)"
"(-3.4, 20.9, 1212.0)","(0.4, 28.7, 1075.1)","(3.6, 19.5, 1094.7)","(-7.9, 26.2, 1169.6)"
"(-0.1, 29.2, 1241.4)","(-5.1, 30.7, 1103.1)","(1.2, 18.6, 1124.4)","(-0.3, 23.3, 1198.5)"
"(7.7, 22.5, 1270.3)","(-5.2, 28.7, 1131.5)","(-4.3, 23.2, 1154.2)","(8.2, 23.6, 1225.6)"
"(-6.4, 26.3, 1297.7)","(-5.5, 22.4, 1158.2)","(0.6, 27.3, 1183.6)","(3.9, 30.2, 1253.9)"
