"(-1.7, 13.1, -52.3)","(4.8, 17.3, -45.2)","(4.8, 17.3, -86.9)"
"(-6.8, 21.2, -28.5)","(2.3, 22.6, -21.2)","(2.3, 22.6, -62.9)"
"(0.7, 31.1, -0.7)","(4.6, 17.0, 8.9)","(4.6, 17.0, -32.8)"
"(1.7, 23.0, 25.6)","(-1.8, 20.2, 38.4)","(-1.8, 20.2, -3.3)"
"(4.3, 20.3, 53.0)","(-4.7, 24.1, 68.7)","(-4.7, 24.1, 27.0)"
"(3.2, 22.6, 81.8)","(4.7, 28.5, 97.3)","(4.7, 28.5, 55.6)"
"(-4.5, 23.1, 111.1)","(6.0, 26.2, 127.0)","(6.0, 26.2, 85.3)"
"(-7.1, 25.2, 141.3)","(3.4, 23.7, 157.7)","(3.4, 23.7, 116.0)"
"(-0.2, 27.3, 169.8)","(1.8, 22.0, 188.5)","(1.8, 22.0, 146.8)"
"(8.7, 31.9, 197.5)","(1.5, 20.6, 219.3)","(1.5, 20.6, 177.6)"
"(4.9, 25.4, 227.1)","(-5.7, 25.5, 248.8)","(-5.7, 25.5, 207.1)"
"(1.1, 18.4, 254.2)","(-4.4, 23.4, 278.7)","(-4.4, 23.4, 237.0)"
"(2.8, 29.4, 282.3)","(-8.6, 23.1, 309.0)","(-8.6, 23.1, 267.4)"
"(-7.1, 33.0, 310.4)","(-8.2, 21.8, 339.7)","(-8.2, 21.8, 298.0)"
"(4.0, 33.0, 339.2)","(-2.3, 25.9, 369.6)","(-2.3, 25.9, 327.9)"
"(4.8, 23.2, 368.3)","(-4.7, 20.6, 399.2)","(-4.7, 20.6, 357.5)"
"(0.1, 25.4, 398.7)","(5.5, 22.8, 427.1)","(5.5, 22.8, 385.4)"
"(2.4, 33.0, 428.6)","(5.9, 19.4, 456.3)","(5.9, 19.4, 414.6)"
"(-1.0, 33.8, 459.1)","(-4.0, 19.6, 485.1)","(-4.0, 19.6, 443.4)"
"(-4.0, 16.8, 484.8)","(-5.7, 27.8, 513.7)","(-5.7, 27.8, 472.0)"
"(4.7, 22.1, 512.9)","(-7.0, 33.1, 543.5)","(-7.0, 33.1, 501.8)"
"(2.6, 32.1, 541.6)","(-7.1, 24.5, 571.8)","(-7.1, 24.5, 530.1)"
"(6.6, 31.3, 571.3)","(1.0, 22.9, 598.3)","(1.0, 22.9, 556.6)"
"(-3.2, 21.2, 597.2)","(3.5, 31.1, 624.5)","(3.5, 31.1, 582.8)"
"(-8.9, 17.7, 625.6)","(-6.6, 34.1, 651.0)","(-6.6, 34.1, 609.3)"
"(-4.7, 23.3, 655.4)","(3.3, 28.1, 679.6)","(3.3, 28.1, 637.9)"
"(-6.2, 30.7, 684.6)","(6.4, 20.0, 708.0)","(6.4, 20.0, 666.3)"
"(-3.3, 29.8, 712.9)","(-9.3, 23.8, 734.4)","(-9.3, 23.8, 692.7)"
"(4.6, 22.2, 741.5)","(1.6, 25.4, 763.0)","(1.6, 25.4, 721.3)"
"(0.9, 20.6, 770.3)","(-8.0, 16.6, 790.3)","(-8.0, 16.6, 748.6)"
"(-6.0, 27.2, 798.7)","(-1.2, 20.0, 818.8)","(-1.2, 20.0, 777.1)"
"(-1.8, 27.3, 827.6)","(-6.5, 30.1, 846.4)","(-6.5, 30.1, 804.7)"
"(2.5, 19.0, 855.6)","(-3.3, 26.2, 873.8)","(-3.3, 26.2, 832.1)"
"(1.4, 24.3, 885.6)","(2.8, 29.2, 902.0)","(2.8, 29.2, 860.3)"
"(4.2, 27.9, 914.7)","(1.1, 25.9, 929.1)","(1.1, 25.9, 887.4)"
"(-1.6, 19.6, 943.1)","(-1.6, 17.4, 957.0)","(-1.6, 17.4, 915.3)"
"(-7.2, 22.1, 973.0)","(0.7, 21.5, 987.3)","(0.7, 21.5, 945.6)"
"(-2.4, 20.5, 1002.5)","(-2.9, 28.7, 1016.8)","(-2.9, 28.7, 975.1)"
"(8.1, 30.6, 1029.1)","(-9.2, 29.6, 1045.8)","(-9.2, 29.6, 1004.2)"
"(-6.6, 27.0, 1056.1)","(-7.2, 23.0, 1075.6)","(-7.2, 23.0, 1034.0)"
"(-2.6, 34.1, 1085.4)","(-4.2, 22.6, 1105.7)","(-4.2, 22.6, 1064.0)"
"(-8.2, 21.7, 1112.3)","(-3.2, 22.9, 1135.4)","(-3.2, 22.9, 1093.7)"
"(0.3, 26.4, 1139.3)","(1.0, 16.5, 1164.7)","(1.0, 16.5, 1123.0)"
"(0.0, 29.5, 1168.6)","(-1.2, 18.2, 1194.9)","(-1.2, 18.2, 1153.2)"
"(0.7, 30.7, 1199.1)","(-3.7, 22.2, 1224.7)","(-3.7, 22.2, 1183.0)"
"(3.5, 24.8, 1228.9)","(-7.3, 21.3, 1254.2)","(-7.3, 21.3, 1212.5)"
"(6.6, 27.9, 1258.6)","(-5.1, 23.7, 1283.8)","(-5.1, 23.7, 1242.1)"
"(4.1, 32.7, 1288.7)","(-5.2, 18.7, 1312.9)","(-5.2, 18.7, 1271.2)"
"(7.4, 29.8, 1318.5)","(0.7, 26.1, 1342.0)","(0.7, 26.1, 1300.3)"
