"(8.5, 18.1, -284.0)","(-1.2, 13.7, -63.7)","(-1.2, 13.7, -89.7)","(1.4, 15.7, -167.1)","(1.4, 15.8, -79.1)"
"(-0.4, 32.5, -269.1)","(-8.7, 22.4, -46.1)","(-8.7, 22.4, -72.1)","(0.6, 20.6, -146.3)","(-6.7, 25.1, -64.9)"
"(-3.1, 28.0, -242.3)","(-3.8, 24.9, -15.9)","(-3.8, 24.9, -41.9)","(-2.7, 28.6, -118.2)","(-0.2, 19.3, -36.5)"
"(6.5, 20.0, -214.7)","(-3.6, 22.5, 13.7)","(-3.6, 22.5, -12.3)","(-2.6, 31.3, -89.4)","(7.3, 23.3, -9.3)"
"(9.0, 21.2, -184.4)","(2.3, 22.0, 42.1)","(2.3, 22.0, 16.1)","(-4.2, 22.4, -60.6)","(1.1, 29.9, 17.5)"
"(5.1, 29.0, -155.1)","(7.0, 21.1, 70.8)","(7.0, 21.1, 44.8)","(-5.5, 18.8, -31.3)","(-8.9, 17.3, 42.3)"
"(-2.4, 33.2, -126.1)","(-1.2, 19.2, 99.9)","(-1.2, 19.2, 73.9)","(1.6, 18.3, -1.8)","(-2.5, 32.3, 68.7)"
"(-1.6, 30.7, -95.3)","(-6.6, 25.4, 128.4)","(-6.6, 25.4, 102.4)","(8.1, 17.6, 27.9)","(4.2, 32.4, 98.3)"
"(-4.1, 26.3, -65.1)","(-6.0, 32.9, 157.8)","(-6.0, 32.9, 131.8)","(2.1, 25.6, 55.6)","(-1.2, 20.3, 125.7)"
"(-7.9, 23.0, -36.9)","(-7.7, 28.1, 187.0)","(-7.7, 28.1, 161.0)","(-4.4, 29.8, 80.5)","(5.9, 21.7, 154.3)"
"(-2.8, 31.6, -9.1)","(-2.1, 20.7, 213.6)","(-2.1, 20.7, 187.6)","(4.7, 17.4, 105.7)","(-2.9, 20.0, 181.8)"
"(-1.1, 22.2, 19.2)","(7.2, 30.1, 239.8)","(7.2, 30.1, 213.8)","(9.8, 27.8, 134.3)","(0.0, 23.6, 209.3)"
"(0.0, 30.1, 48.5)","(-8.8, 34.8, 265.9)","(-8.8, 34.8, 239.9)","(4.2, 32.5, 164.2)","(-1.0, 29.9, 237.6)"
"(-1.1, 16.2, 76.0)","(1.6, 29.6, 294.3)","(1.6, 29.6, 268.3)","(-4.6, 17.0, 189.5)","(-5.9, 27.0, 266.4)"
"(-0.3, 31.7, 102.8)","(7.6, 20.0, 322.9)","(7.6, 20.0, 296.9)","(-1.7, 24.9, 217.7)","(-0.2, 22.7, 295.2)"
"(4.3, 33.9, 132.7)","(-5.7, 22.7, 349.7)","(-5.7, 22.7, 323.7)","(0.5, 17.5, 246.1)","(1.1, 22.9, 324.0)"
"(2.1, 31.8, 163.3)","(-1.1, 25.1, 377.7)","(-1.1, 25.1, 351.7)","(-6.5, 22.6, 274.2)","(-6.0, 27.0, 352.5)"
"(-2.0, 30.5, 193.9)","(-5.4, 19.0, 405.4)","(-5.4, 19.0, 379.4)","(-5.6, 18.9, 302.5)","(-6.0, 30.0, 380.7)"
"(-0.4, 21.4, 223.2)","(-3.6, 18.8, 433.5)","(-3.6, 18.8, 407.5)","(3.7, 21.1, 330.4)","(-1.4, 22.4, 408.0)"
"(-4.3, 31.3, 251.8)","(-4.3, 27.6, 461.4)","(-4.3, 27.6, 435.4)","(2.8, 27.5, 358.6)","(6.9, 29.6, 436.3)"
"(-0.6, 26.5, 280.9)","(-5.4, 28.9, 488.9)","(-5.4, 28.9, 462.9)","(3.0, 26.2, 386.7)","(4.6, 28.3, 466.8)"
"(-5.6, 19.5, 310.2)","(1.8, 26.7, 516.8)","(1.8, 26.7, 490.8)","(2.8, 23.3, 414.1)","(-0.7, 33.0, 496.5)"
"(4.5, 17.8, 337.8)","(2.7, 29.6, 544.6)","(2.7, 29.6, 518.6)","(-7.7, 25.7, 441.9)","(-0.1, 32.5, 526.7)"
"(6.3, 26.5, 365.8)","(-2.4, 17.3, 571.2)","(-2.4, 17.3, 545.2)","(-4.4, 23.1, 472.0)","(-6.5, 23.4, 554.4)"
"(-3.5, 26.8, 393.2)","(0.5, 19.9, 601.7)","(0.5, 19.9, 575.7)","(2.8, 16.0, 500.8)","(5.3, 19.2, 582.2)"
"(-2.5, 24.7, 420.4)","(-0.6, 27.4, 631.5)","(-0.6, 27.4, 605.5)","(5.5, 17.3, 530.7)","(6.9, 30.8, 610.9)"
"(6.3, 28.3, 449.1)","(-9.1, 31.7, 660.4)","(-9.1, 31.7, 634.4)","(-1.6, 21.3, 560.2)","(-6.5, 31.2, 638.8)"
"(6.4, 29.4, 479.5)","(-8.7, 24.1, 690.1)","(-8.7, 24.1, 664.1)","(-3.1, 21.1, 590.3)","(4.3, 20.7, 664.5)"
"(0.1, 23.7, 508.8)","(-3.4, 21.4, 720.0)","(-3.4, 21.4, 694.0)","(-1.1, 26.5, 619.8)","(5.6, 24.7, 693.3)"
"(-2.9, 22.4, 536.5)","(-5.1, 25.0, 750.2)","(-5.1, 25.0, 724.2)","(-8.3, 24.0, 649.5)","(-0.5, 26.0, 723.0)"
"(2.1, 28.5, 565.0)","(1.8, 17.1, 778.9)","(1.8, 17.1, 752.9)","(-7.7, 22.1, 679.9)","(-3.3, 31.4, 753.0)"
"(-2.9, 27.2, 594.1)","(-1.2, 16.4, 809.4)","(-1.2, 16.4, 783.4)","(-2.2, 17.4, 709.0)","(4.0, 28.7, 781.7)"
"(1.1, 17.4, 622.7)","(-2.0, 23.5, 839.2)","(-2.0, 23.5, 813.2)","(-4.6, 20.3, 739.1)","(8.9, 24.3, 811.7)"
"(2.9, 19.3, 652.6)","(-8.3, 19.7, 868.7)","(-8.3, 19.7, 842.7)","(-0.3, 19.3, 768.5)","(8.0, 23.9, 842.4)"
"(5.3, 30.0, 680.6)","(-4.3, 25.9, 898.4)","(-4.3, 25.9, 872.4)","(-7.2, 26.0, 797.2)","(3.1, 28.0, 872.6)"
"(3.2, 23.4, 710.6)","(-7.2, 17.4, 927.5)","(-7.2, 17.4, 901.5)","(-0.2, 25.8, 827.0)","(5.1, 28.0, 902.8)"
